Album,Artist,Acousticness,Danceability,Duration,Liveness,Tempo,AlbumDu,ArtistDu,GroupCount,Rank
"I Am > I Was","21 Savage",0.0463635333333333,0.871733333333333,204345.2,0.177453333333333,126.265066666667,"I Am > I Was","21 Savage",3,1.33333333333333
"Hoodie SZN","A Boogie Wit da Hoodie",0.23938,0.7559,185234.25,0.111985,122.3075,"Hoodie SZN","A Boogie Wit da Hoodie",3,1.66666666666667
"Championships","Meek Mill",0.100661157894737,0.658105263157895,219174.473684211,0.258731578947368,114.134578947368,"Championships","Meek Mill",6,3
"A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper",0.489429735294118,0.499676470588235,124016.441176471,0.426838235294118,96.0940882352941,"A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper",14,3.92857142857143
"Farm Tour: Here's To The Farmer (EP)","Luke Bryan",0.14356,0.5158,209695.8,0.17376,133.3436,"Farm Tour: Here's To The Farmer (EP)","Luke Bryan",1,4
"The Peace And The Panic","Neck Deep",0.0417801818181818,0.524818181818182,215521.727272727,0.193518181818182,130.357,"The Peace And The Panic","Neck Deep",1,4
"AFI (The Blood Album)","AFI",0.0181526583333333,0.42925,223412.25,0.187391666666667,130.334916666667,"AFI (The Blood Album)","AFI",1,5
"Scorpion","Drake",0.1943276,0.71004,217055.96,0.184212,121.66348,"Scorpion","Drake",28,5.5
"ASTROWORLD","Travis Scott",0.130485882352941,0.686764705882353,207192.176470588,0.190241176470588,135.853588235294,"ASTROWORLD","Travis Scott",23,5.91304347826087
"beerbongs & bentleys","Post Malone",0.342494444444444,0.647833333333333,214114.222222222,0.149611111111111,136.384444444444,"beerbongs & bentleys","Post Malone",37,6.32432432432432
"Spider-Man: Into The Spider-Verse","Soundtrack",0.120763076923077,0.677538461538462,192457.461538462,0.179369230769231,112.900615384615,"Spider-Man: Into The Spider-Verse","Soundtrack",4,6.5
"Dying To Live","Kodak Black",0.237790625,0.7429375,179589.125,0.17988125,128.1656875,"Dying To Live","Kodak Black",4,7
"Other People's Stuff","John Mellencamp",0.22087,0.5496,206341.9,0.22926,136.5853,"Other People's Stuff","John Mellencamp",1,7
"After Hours","Timeflies",0.0278942857142857,0.6085,200317.142857143,0.142507142857143,128.273928571429,"After Hours","Timeflies",1,8
"EPIC AF (Yellow/Pink)","Various Artists",0.0738646,0.742066666666667,214722.933333333,0.217813333333333,133.621266666667,"EPIC AF (Yellow/Pink)","Various Artists",6,8.5
"Summer Latin Hits 2017","Various Artists",0.153446666666667,0.702866666666667,212756.333333333,0.159733333333333,139.202266666667,"Summer Latin Hits 2017","Various Artists",2,8.5
